autor,fecha,tweet_id,texto,texto_tokenizado
Galgadot,2023-01-26T23:14:46Z,1618749316222562300,"This was one of the most moving and powerful experiences of my life and I am grateful for the opportunity to take part in such an important cause and coming full circle with my own personal family story. 

 May we always remember and never forget. 
I miss you Saba ♥️",
Galgadot,2023-01-26T23:14:19Z,1618749204121415700,"Standing in the recording booth, telling the unbelievable, unbearable stories, I thought about my Saba, and wondered if he would ever imagine his on granddaughter, telling these stories, in Hebrew, for the world to hear.",
Galgadot,2023-01-26T23:14:07Z,1618749151038312400,"Today is international holocaust day
 A little while ago, I had the honor of narrating a short film for visitors of the Auschwitz-Birkenau memorial and museum.
This is the same concentration camp my grandfather was in, the one he barely survived… https://t.co/Y4t21WPyUY",
Galgadot,2023-01-18T15:33:00Z,1615734005508309e3,"Are you ready for Rachel Stone? ♥️♠️
catch what’s coming to @Netflix in 2023 and see you in August 😉#NetflixSavetheDates https://t.co/yz8YPy173t",
Galgadot,2023-01-17T16:40:13Z,1615388535489429500,"the Dude and I 🤍 
We worked together on one of my very first modeling jobs and 20 years later he is still my photographer and close friend.
 Dudi has the ability and talent to capture me in the most unique moments and this is a little BTS photo of one of those rare moments https://t.co/K4eoOZgzjm",
Galgadot,2023-01-12T05:48:45Z,161341264759194e4,Suit up🤍 https://t.co/5SxKyJe0ZX,
Galgadot,2023-01-09T18:28:09Z,1612516592419737600,💜 https://t.co/IuGqCUYcgC,
Galgadot,2022-12-20T17:15:27Z,1605250541839417300,🍊 https://t.co/5qGed4CktI,
Galgadot,2022-12-12T21:04:13Z,1602409008794636300,💦 https://t.co/C1S4ym3zsr,
Galgadot,2022-12-06T17:33:43Z,1600181707826946e3,"A few years ago it was announced that I was going to play Wonder Woman.I’ve been so grateful for the opportunity to play such an incredible, iconic character and more than anything I’m grateful for YOU.The fans.Can’t wait to share her next chapter with you🙅🏻‍♀️🙌🏼💃🏻♥️ https://t.co/XlzhrMx4xe",
Galgadot,2022-11-23T17:23:35Z,1.5954681149381919e+18,🤍 https://t.co/9J13cqzxuW,
Galgadot,2022-11-14T18:24:57Z,1592222065914163200,Go green 💚😜 https://t.co/SehFRHNsZh,
Galgadot,2022-11-09T22:31:11Z,1590472093627723800,"Today is the last day to vote for the @peopleschoice awards✨
This was such a fun role for me to play. Thanks for the love.🤟🏻 #DeathOnTheNile  
Head on over to https://t.co/cHYf4mKvsz and pick your favs 
⭐️Drama Movie of 2022
⭐️Female Movie Star of 2022
⭐️Drama Movie Star of 2022 https://t.co/LH9DvGilie",
Galgadot,2022-11-03T17:39:04Z,158822425336687e4,🤍 https://t.co/bMbE4awkN8,
Galgadot,2022-10-25T23:15:05Z,1585047324455469e3,Proud ✡️ https://t.co/MBMNT6Pg6D,
Galgadot,2022-10-19T15:18:03Z,1582752948806746e3,Starting my day with a smile 💙 https://t.co/u1Hlj0HVOR,
Galgadot,2022-10-08T19:46:06Z,1578834136235589600,🖤 https://t.co/YfFtsrP8KF,
Galgadot,2022-09-24T17:12:47Z,1573722122773569500,"Meet Rachel Stone! ❤️
I’m extremely excited to share this exclusive first Look at HEART OF STONE, coming to Netflix in 2023. 
#Tudum @netflix #HOS https://t.co/juz0JPxd8K",
Galgadot,2022-09-23T15:03:52Z,1573327293795438600,🥛 https://t.co/o71YsSyNoF,
Galgadot,2022-09-19T15:48:18Z,1571888923424575500,🖤 https://t.co/6IIvlwS2Fd,
Galgadot,2022-09-14T15:50:20Z,1570077496837640200,"Are you ready for TUDUM? ✨💫
Don’t miss the exclusive HEART OF STONE debut plus many more fun treats! 
September 24 at 10am PT only on YouTube
#tudum @netflix https://t.co/DV0B8PUO7o",
Galgadot,2022-09-11T15:21:48Z,1568983153494335500,🌹🔮 #SnowWhite                      📸@imdb &amp; Corey Nickols https://t.co/u4GtNGDbqd,
Galgadot,2022-09-10T03:15:55Z,1568438092117475300,"Thank you for having us #D23 ! Snow White 2024 🍎🫦@rachelzegler 

VC &amp; 📸: @IMDb &amp; @unicornfightclub https://t.co/Jv5zSP5L1Q https://t.co/ZBrRyapsOD",
Galgadot,2022-09-01T13:49:07Z,1565335948954443800,"We had the honor of meeting with president Isaac Herzog and the first lady yesterday
and the pleasure of discovering such a warm, open hearted, interesting couple who wants to bring people together and strive to do good things
It was so inspiring... 
@JaronVarsano https://t.co/74On30duFw",
Galgadot,2022-08-28T14:26:23Z,1563895777260408800,☀️ https://t.co/CDayJBj5SP,
Galgadot,2022-08-22T15:12:40Z,1561733095870587e3,A NOT so typical day in August for a mother of 3 😜 🧡 https://t.co/fgez7BGlpN,
Galgadot,2022-08-17T14:34:10Z,1559911469390745600,💚🤍 https://t.co/9fc9EM7qTn,
Galgadot,2022-08-10T14:49:51Z,1557378700286431200,@jamiegraceh @RealLyndaCarter @mamamonaharper @PattyJenks ❤️❤️,
Galgadot,2022-07-31T15:04:17Z,1553758452509556700,"My plans for today: stay in bed
My girls' plans for today: not https://t.co/dGx0wR7MbD",
Galgadot,2022-07-28T12:27:59Z,1552631954658496500,"My hubby @JaronVarsano , it’s been such a joy bringing this to life with you under our company PilotWave 
I can’t wait until you all can meet Rachel Stone. 
And now!!!!! ….. I rest. ❤️✌🏻❤️",
Galgadot,2022-07-28T12:26:28Z,1552631575564746800,"To those who believed in this project, @NetflixFilm @Skydance #MockingbirdProductions. Thank you to Greg Rucka and Allison schroeder for bringing this story to life. 
Our amazing cast, it’s been a pleasure working besides you all. 
And our fearless leader Tom Harper.",
Galgadot,2022-07-28T12:24:26Z,1552631064052617200,"I am so proud and must first of all thank all of of the hundreds of crew members who’ve worked tirelessly on this film, the crews in the UK, Italy, Iceland, Morocco, and Portugal! This is going to be huge!",
Galgadot,2022-07-28T12:23:52Z,1552630920577949700,"And that’s a picture wrap!! I can’t believe we are done. this idea came to me about 4 1/2 years ago with only a name, Stone. And today we are finishing an almost 5 months journey in 5 countries! https://t.co/eVeu8cLFpD",
Galgadot,2022-07-24T20:21:16Z,1551301509819895800,"Happy bday to one of my favorite people @PattyJenks 
🍀♥️🍀 https://t.co/BAu5IuzVZt",
Galgadot,2022-07-20T15:58:00Z,1549785705634824200,The upside down  🤸‍♀️ https://t.co/h5zNZ19FAV,
Galgadot,2022-07-18T16:32:20Z,1549069568735322e3,🤍 https://t.co/am7LGbllmu,
Galgadot,2022-07-10T10:08:36Z,1546073898097205200,❤️❤️ @aliaa08 https://t.co/pFoGIlB5Py,
Galgadot,2022-07-06T15:57:10Z,1544712067147612200,"Three of my favs - the beach, sunsets and riding bikes in a suit 😜 https://t.co/267oyC4KUQ",
Galgadot,2022-06-30T14:16:56Z,1542512515405344800,"💎
@TiffanyAndCo https://t.co/dWdYic7yUz",
Galgadot,2022-06-23T08:43:47Z,1539891957853479e3,"Happy birthday to my greatest love! 
my forever partner - in love, in life, in all. 
wishing you everything we ever dreamed of and I’m here by your side while we make it come true ❤️ I love you baby @JaronVarsano https://t.co/xMD9e5J40R",
Galgadot,2022-06-22T16:25:43Z,1539645819879469e3,💋 https://t.co/g1TtKPaqga,
Galgadot,2022-06-12T17:20:01Z,1536035606081548300,Hope your Sunday is as happy as mine  😄  #SmilingIsContagious https://t.co/WRjr2vk2SN,
Galgadot,2022-06-07T17:20:49Z,1534223870160425e3,A little green goes a long way 💚 https://t.co/o5yAOJK2i5,
Galgadot,2022-06-02T13:55:37Z,1532360287311040500,😊 https://t.co/cxZCXyCdAu,
Galgadot,2022-05-29T11:58:57Z,1530881378191085600,🤍 https://t.co/nh3H2zK6S2,
Galgadot,2022-05-23T15:33:24Z,1528761017777389600,"Starting another intense and fun week on the set of HOS...  Can't wait for all of you to see this amazing film... coming soon :)
#HeartOfStone #HOS @NetflixFilm 
@Skydance https://t.co/b6dnrbpOfu",
Galgadot,2022-05-19T14:32:49Z,1527296220489654300,Taking it easy today before jumping into another late night shooting 💙 https://t.co/q3wjr4R2GG,
Galgadot,2022-05-12T14:41:18Z,1524761638645158e3,🚲 https://t.co/ijvz4pZulv,
Galgadot,2022-05-08T14:47:01Z,1523313527536062500,"Happy mother's day!
I'm so lucky to have my mom by my side on this crazy journey,to give me strength,to share her knowledge and to show me endless love &amp; support.
She is my rock and my comfort.  
All you incredible moms out there - you are the power that move this earth, thank u! https://t.co/UQd2SiWEfb",
Galgadot,2022-05-01T16:03:57Z,1520796175502393300,"We took a little family vacation before the next adventure 🌳☀️❤️
Just the five of us, some good food and a whole lot of nature. 
Now I'm more than ready to jump into a new exciting project. https://t.co/AVKtvdy7po",
Galgadot,2022-04-20T15:32:06Z,1516801891212144600,"When you can't show your costume but still need to walk around set 🤫
#TB https://t.co/1Q282yawCs",
Galgadot,2022-04-18T13:13:25Z,1.5160422138007839e+18,"Welcoming the new week very casually... 😝 
#WW84 https://t.co/y7r8Wvgjmh",
Galgadot,2022-04-17T14:54:29Z,1515705260853055500,Stay in bed kind of day 🤍 https://t.co/OcHBNo5WOo,
Galgadot,2022-04-11T15:51:28Z,1513545275603828700,💋 https://t.co/6K7llgcaoe,
Galgadot,2022-04-05T14:10:13Z,151134546828612e4,I will… https://t.co/mytBLdB6oQ,
Galgadot,2022-04-03T10:15:12Z,1510561548674252800,🐬🌊 https://t.co/Y8bopBqCD2,
Galgadot,2022-03-29T15:37:57Z,1508830829631328300,"So many GOODER things… 🌈
@AllGoodles 
https://t.co/dRkDBStPCu https://t.co/lK4g5rGbYb",
Galgadot,2022-03-25T18:38:49Z,1507426796014346200,Ready for the weekend 🤍 https://t.co/o558sxwppg,
Galgadot,2022-03-18T18:35:08Z,1504889153380565e3,"Taking a little @allgoodles break 🌈

—
GG, Founding Partner https://t.co/HnSErj6u0P",
Galgadot,2022-03-16T17:32:19Z,1504148569749704700,"Happy hump day y'all! 
Anyone else needs a nap? https://t.co/TOojZBCK21",
Galgadot,2022-03-14T16:16:11Z,1503404633238257700,Purim is one of my favorites holidays and making Hamantash with my girls is definitely one of my favorite things about it ❤️ https://t.co/9PqB0phkqs,
Galgadot,2022-03-14T07:56:36Z,1503278908615151600,"Congratulations to the amazing @halleberry, the recipient of this year's @SeeHerOfficial award.
Halle has been breaking down barriers, both on and off screen for her entire career and is a true inspiration for girls all over the world. 
I'm so honored to welcome her to the club🤍 https://t.co/SPwY1Drkjb",
Galgadot,2022-03-08T19:32:14Z,1501279646658166800,"If you haven't seen it yet you can head over to my YouTube channel to watch all the episodes, I'm sure you will be inspired.
And let's celebrate women all day, every day 🤍

https://t.co/DwWooMuRAf",
Galgadot,2022-03-08T19:31:54Z,1501279560545058800,"This day last year we released the first IMPACT trailer to the world. 
This project is still the epiphany of #internationWomensDay in my eyes - extraordinary women, from different places working endlessly to 
 better the world. https://t.co/8au1ajMQD2",
Galgadot,2022-03-07T16:08:11Z,1500865906892849200,"Rachel Stone. Nice to meet you💋
#HeartOfStone @NetflixFilm 
@JaronVarsano @Skydance https://t.co/ZgY3RTPVLH",
Galgadot,2022-03-06T15:53:53Z,1500499921132306400,"A little Kenneth Branagh magic... ✨
I'm grateful for the chance to work with such inspiring artists. 
@BelfastMovie is an incredible creation and Jamie Dornan was so great in it that I had to find a project for the both of us :)
have a great award season, you guys deserve it! https://t.co/0cmczakFW9",
Galgadot,2022-02-24T18:35:32Z,1496916720015102e3,😙 https://t.co/hzQAUJZgNh,
Galgadot,2022-02-22T16:41:55Z,1496163355089936400,TB ❤️🖤 https://t.co/vutr6SQPgU,
Galgadot,2022-02-19T20:22:40Z,1495131744420380700,"So much drama...! 🔥😎 
#WW BTS https://t.co/pO671UcMHu",
